datetime,tide_nstr
2018-04-09 04:00:00+00:00,6.6332286264785205
2018-04-09 04:15:00+00:00,6.868380133906572
2018-04-09 04:30:00+00:00,6.976209150569799
2018-04-09 04:45:00+00:00,6.958477775471382
2018-04-09 05:00:00+00:00,6.819366901088941
2018-04-09 05:15:00+00:00,6.5653997677283655
2018-04-09 05:30:00+00:00,6.205326166727476
2018-04-09 05:45:00+00:00,5.749969391979858
2018-04-09 06:00:00+00:00,5.212038641222801
2018-04-09 06:15:00+00:00,4.6059101112496705
2018-04-09 06:30:00+00:00,3.9473805068726833
2018-04-09 06:45:00+00:00,3.2533970860868995
2018-04-09 07:00:00+00:00,2.5417686893089164
2018-04-09 07:15:00+00:00,1.8308624463804943
2018-04-09 07:30:00+00:00,1.1392910205515168
2018-04-09 07:45:00+00:00,0.4855953347278142
2018-04-09 08:00:00+00:00,-0.112072266
2018-04-09 08:15:00+00:00,-0.636259525
2018-04-09 08:30:00+00:00,-1.070515708
2018-04-09 08:45:00+00:00,-1.399678391
2018-04-09 09:00:00+00:00,-1.610141324
2018-04-09 09:15:00+00:00,-1.690099351
2018-04-09 09:30:00+00:00,-1.629766783
2018-04-09 09:45:00+00:00,-1.421565952
2018-04-09 10:00:00+00:00,-1.060283157
2018-04-09 10:15:00+00:00,-0.543189638
2018-04-09 10:30:00+00:00,0.12987430221068405
2018-04-09 10:45:00+00:00,0.9564534078671021
2018-04-09 11:00:00+00:00,1.931470682539055
2018-04-09 11:15:00+00:00,3.047260072
2018-04-09 11:30:00+00:00,4.2936384564161205
2018-04-09 11:45:00+00:00,5.658016282202763
2018-04-09 12:00:00+00:00,7.125545651531505
2018-04-09 12:15:00+00:00,8.679304188223394
2018-04-09 12:30:00+00:00,10.300512511867812
2018-04-09 12:45:00+00:00,11.968782683891483
2018-04-09 13:00:00+00:00,13.662394543261055
2018-04-09 13:15:00+00:00,15.358596430541605
2018-04-09 13:30:00+00:00,17.03392641189322
2018-04-09 13:45:00+00:00,18.664549764345303
2018-04-09 14:00:00+00:00,20.226608175557626
2018-04-09 14:15:00+00:00,21.696575850654046
2018-04-09 14:30:00+00:00,23.05161751098708
2018-04-09 14:45:00+00:00,24.269943120183793
2018-04-09 15:00:00+00:00,25.331154086671766
2018-04-09 15:15:00+00:00,26.216575673798193
2018-04-09 15:30:00+00:00,26.909570402870802
2018-04-09 15:45:00+00:00,27.395827364429945
2018-04-09 16:00:00+00:00,27.66362256
2018-04-09 16:15:00+00:00,27.70404569606681
2018-04-09 16:30:00+00:00,27.511189180802972
2018-04-09 16:45:00+00:00,27.082295600553756
2018-04-09 17:00:00+00:00,26.417860377839713
2018-04-09 17:15:00+00:00,25.521686987587668
2018-04-09 17:30:00+00:00,24.400892730664072
2018-04-09 17:45:00+00:00,23.065863795596407
2018-04-09 18:00:00+00:00,21.530159107695546
2018-04-09 18:15:00+00:00,19.810363272903317
2018-04-09 18:30:00+00:00,17.92588975782675
2018-04-09 18:45:00+00:00,15.89873629389814
2018-04-09 19:00:00+00:00,13.753195337691404
2018-04-09 19:15:00+00:00,11.515523245547927
2018-04-09 19:30:00+00:00,9.213572612712719
2018-04-09 19:45:00+00:00,6.8763929688457335
2018-04-09 20:00:00+00:00,4.533805696951531
2018-04-09 20:15:00+00:00,2.2159596358338183
2018-04-09 20:30:00+00:00,-0.047125677
2018-04-09 20:45:00+00:00,-2.226021783
2018-04-09 21:00:00+00:00,-4.292350481
2018-04-09 21:15:00+00:00,-6.219232689
2018-04-09 21:30:00+00:00,-7.981719228
2018-04-09 21:45:00+00:00,-9.557195958
2018-04-09 22:00:00+00:00,-10.92575596
2018-04-09 22:15:00+00:00,-12.07053193
2018-04-09 22:30:00+00:00,-12.97798243
2018-04-09 22:45:00+00:00,-13.63812656
2018-04-09 23:00:00+00:00,-14.04472211
2018-04-09 23:15:00+00:00,-14.19538352
2018-04-09 23:30:00+00:00,-14.0916368
2018-04-09 23:45:00+00:00,-13.73890972
2018-04-10 00:00:00+00:00,-13.14645726
2018-04-10 00:15:00+00:00,-12.32721959
2018-04-10 00:30:00+00:00,-11.29762245
2018-04-10 00:45:00+00:00,-10.07731271
2018-04-10 01:00:00+00:00,-8.688840307
2018-04-10 01:15:00+00:00,-7.157289094
2018-04-10 01:30:00+00:00,-5.509863028
2018-04-10 01:45:00+00:00,-3.775434708
2018-04-10 02:00:00+00:00,-1.984063909
